class	method	arity	virtual	openw3d_class	source_kind	source_file	source_line	address	openw3d_has	openw3d_owners	declaration
SoldierGameObj	Get_Contact_Surface_Type	0	1	present	declaration-only				owned elsewhere	Phys3Class	virtual int Get_Contact_Surface_Type();
SoldierGameObj	Get_Human_Anim_Override	0	1	present	declaration-only				nowhere		virtual int Get_Human_Anim_Override();
SoldierGameObj	Get_Locked_Collision_Mode	0	0	present	declaration-only				nowhere		Collision_Group_Type *Get_Locked_Collision_Mode();
SoldierGameObj	Get_Override_Weapon_Hold_Style	0	1	present	declaration-only				nowhere		virtual int Get_Override_Weapon_Hold_Style();
SoldierGameObj	Get_Skeleton_Heigth	0	1	present	declaration-only				nowhere		virtual float Get_Skeleton_Heigth( void );
SoldierGameObj	Get_Skeleton_Width	0	1	present	declaration-only				nowhere		virtual float Get_Skeleton_Width( void );
SoldierGameObj	Is_Human_Controlled	0	0	present	declaration-only				owned elsewhere	SmartGameObj	return Is_Human_Controlled();
SoldierGameObj	Lock_Collision_Mode	2	0	present	declaration-only				nowhere		void Lock_Collision_Mode(bool lockCollisionGroup,Collision_Group_Type lock);
SoldierGameObj	Set_Delete_Pending	0	1	present	declaration-only				owned elsewhere	BackgroundMgrClass,BaseControllerClass,NetworkObjectClass,ScriptableGameObj,WeatherMgrClass,cServerFps	virtual void Set_Delete_Pending (void);
SoldierGameObj	Set_Enable_Foot_Steps	1	1	present	declaration-only				nowhere		virtual void Set_Enable_Foot_Steps(bool enableFootSteps);
SoldierGameObj	Set_Human_Anim_Override	1	1	present	declaration-only				owned elsewhere	HumanStateClass	virtual void Set_Human_Anim_Override(bool enableHumanAnimOverride);
SoldierGameObj	Set_Override_Weapon_Hold_Style	1	1	present	declaration-only				nowhere		virtual void Set_Override_Weapon_Hold_Style(int overrideWeaponHoldStyleId);
SoldierGameObj	Set_Skeleton_Height	1	1	present	declaration-only				nowhere		virtual void Set_Skeleton_Height( float height );
